"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"U.S. Senator","Henry Clay Dennison","(Prefers Socialist Workers Party)",13901,0.72,"Federal"
"U.S. Senator","Mohammad Hassan Said","(Prefers Democratic Party)",13995,0.73,"Federal"
"U.S. Senator","John Guenther","(Prefers Republican Party)",55426,2.89,"Federal"
"U.S. Senator","Tiffany Smiley","(Prefers Republican Party)",646917,33.69,"Federal"
"U.S. Senator","Dan Phan Doan","(States No Party Preference)",3049,0.16,"Federal"
"U.S. Senator","Dr Pano Churchill","(Prefers Democratic Party)",11859,0.62,"Federal"
"U.S. Senator","Dave Saulibio","(Prefers JFK Republican Party)",19341,1.01,"Federal"
"U.S. Senator","Sam Cusmir","(Prefers Democratic Party)",2688,0.14,"Federal"
"U.S. Senator","Bill Hirt","(Prefers Republican Party)",15276,0.8,"Federal"
"U.S. Senator","Jon Butler","(Prefers Independent Party)",5413,0.28,"Federal"
"U.S. Senator","Bryan Solstin","(Prefers Democratic Party)",9627,0.5,"Federal"
"U.S. Senator","Martin D. Hash","(States No Party Preference)",4725,0.25,"Federal"
"U.S. Senator","Patty Murray","(Prefers Democratic Party)",1002811,52.22,"Federal"
"U.S. Senator","Thor Amundson","(Prefers Independent Party)",5133,0.27,"Federal"
"U.S. Senator","Charlie (Chuck) Jackson","(Prefers Independent Party)",8604,0.45,"Federal"
"U.S. Senator","Naz Paul","(Prefers Independent Party)",18858,0.98,"Federal"
"U.S. Senator","Ravin Pierre","(Prefers Democratic Party)",22172,1.15,"Federal"
"U.S. Senator","Leon Lawson","(Prefers Trump Republican Party)",59134,3.08,"Federal"
"U.S. Senator","WRITE-IN"," ",1511,0.08,"Federal"
"CONGRESSIONAL DISTRICT 1 - U.S. Representative","Matthew Heines","(Prefers Republican Party)",13634,8.21,"Congressional"
"CONGRESSIONAL DISTRICT 1 - U.S. Representative","Derek K Chartrand","(Prefers Republican Party)",11536,6.95,"Congressional"
"CONGRESSIONAL DISTRICT 1 - U.S. Representative","Vincent J Cavaleri","(Prefers Republican Party)",32998,19.87,"Congressional"
"CONGRESSIONAL DISTRICT 1 - U.S. Representative","Tom Spears","(States No Party Preference)",4840,2.92,"Congressional"
"CONGRESSIONAL DISTRICT 1 - U.S. Representative","Suzan DelBene","(Prefers Democratic Party)",102857,61.95,"Congressional"
"CONGRESSIONAL DISTRICT 1 - U.S. Representative","WRITE-IN"," ",168,0.1,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Cody Hart","(Prefers MAGA Republican Party)",22176,10.09,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Dan Matthews","(Prefers Republican Party)",37393,17.01,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Doug &quot;Yoshe&quot; Revelle","(States No Party Preference)",927,0.42,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Bill Wheeler","(Prefers Republican Party)",9124,4.15,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Jon Welch","(Prefers Conservative Party)",1699,0.77,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Brandon Lee Stalnaker","(Prefers Republican Party)",1366,0.62,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Jason Call","(Prefers Democratic Party)",31991,14.55,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Leif Johnson","(Prefers Republican Party)",5582,2.54,"Congressional"
